"","dates","V1","V2","V3","V4","V5","V6","V7","V8"
"15459",2001-02-28,0,0,0,0,0,1.9,0,0
"15461",2001-03-01,0.1,0,2.8,2,0,0.9,2.5,1.7
"15463",2001-03-02,1.9,6.6,13.7,10.2,0,3.5,2,5.1
"15465",2001-03-03,3.6,0,3.9,10,10.2,5,2.4,4.5
"15467",2001-03-04,0.4,9.5,4,7,5.5,9.9,1.1,11
"15469",2001-03-05,0.7,2.5,13.6,10.5,10.8,8.5,2.2,3.9
"15471",2001-03-06,0.3,5.1,3.8,10.4,12.6,0.4,0,3.9
"15473",2001-03-07,1.7,9.5,8.2,9.2,14.8,11.5,1,10.1
"15475",2001-03-08,2.4,2.6,9.2,12,2.4,14,1.1,1.9
"15477",2001-03-09,5.3,2,13.2,10.5,0,26.2,1.1,8.1
"15479",2001-03-10,5,0.4,12.3,10.6,0,10.2,0.9,2.2
"15481",2001-03-11,0.8,6,13.5,12.5,10.6,2,1.3,17
"15483",2001-03-12,0,1.8,5.2,8,13.8,6.1,2.3,4.5
"15485",2001-03-13,4,6.2,2.6,8.5,15,1.2,1.3,1.2
"15487",2001-03-14,9.5,12.4,20.9,6.4,11,0,1,0.6
"15489",2001-03-15,0.3,10.2,3.8,8.5,10,7.8,2.3,11.4
"15491",2001-03-16,4.9,0.4,12.7,4.5,14.7,7.3,14.1,8.4
"15493",2001-03-17,2.2,1,4.6,4,8.9,5,1.3,5.4
"15495",2001-03-18,5.8,6.4,5.4,7.2,16.4,10.2,3.8,3
"15497",2001-03-19,3.7,12.8,2.2,9.5,5.6,11.8,0.6,4.4
"15499",2001-03-20,6.4,7.2,10.6,12.5,0,9,22.1,9.6
"15501",2001-03-21,1.8,3.2,15.7,10.5,0,10.5,6.3,2.5
"15503",2001-03-22,0,4,6.1,10.4,0,18.5,0.8,9.9
"15505",2001-03-23,0,4,6.9,13.2,3.6,3.1,0.7,8.9
"15507",2001-03-24,0,9,4.4,8.5,25.1,0.4,0,10.3
"15509",2001-03-25,0.3,4.2,12.2,7.5,21.1,4.5,6.8,2.5
"15511",2001-03-26,0,2,5.7,14,9.8,3.5,2.9,4.2
"15513",2001-03-27,0.8,0,6.7,4,20.7,14.5,10.7,9.3
"15515",2001-03-28,4.4,6,7.7,8,28.5,3.1,6.1,2.1
"15517",2001-03-29,2.8,2,9.5,7.2,16.8,1.2,7.1,10.3
"15519",2001-03-30,3.6,6,8.1,5.8,3.4,2.3,5.8,4
"15521",2001-03-31,NA,0.5,2.6,3,0,2,2.1,7
"15523",2001-04-01,1.8,0,0,0,0,0,1,0.4
"15525",2001-04-02,0.6,1.6,1.1,2,0,0.8,1.2,0
"15527",2001-04-03,NA,0,0,2.5,0,0,2.1,0.7
"15529",2001-04-04,0.2,1.2,6.5,1,0,3,0.9,0.9
"15531",2001-04-05,NA,6.2,0,4.3,0,1.5,0,0.6
"15533",2001-04-06,0.1,1.7,0,8.5,0,0.3,6.1,1.5
"15535",2001-04-07,0.4,9.9,1.2,4,0,0,1,9.1
"15537",2001-04-08,0.5,7.3,11.6,10,0,0.6,0,2.7
"15539",2001-04-09,1.5,1.1,0,0,0,0,1.7,1.3
"15541",2001-04-10,NA,6.1,0,3,0,1,0,0
"15543",2001-04-11,1,0.2,0,1.5,0,3.5,0,0
"15545",2001-04-12,4.1,0,0,0,0,0,4.5,1.2
"15547",2001-04-13,2.2,0.7,1.5,0,0,0,12.2,0.2
"15549",2001-04-14,1,0,0,0,0,2.5,0,0.6
"15551",2001-04-15,0.1,0,0,0,0,0,0,0
"15553",2001-04-16,0,0,0,0,0,0,0,0
"15555",2001-04-17,0,0,0,0,0,0.9,0,0.8
"15557",2001-04-18,0,0,0,0,0,0,0,0.4
"15559",2001-04-19,0,0,3.2,2.5,0,0.7,2.3,0.5
"15561",2001-04-20,0,0,2.8,2,0,0,0,8.8
"15563",2001-04-21,0,0,6.2,0,0,4.4,0,9.6
"15565",2001-04-22,0,0,0,0,0,4.4,0,0.6
"15567",2001-04-23,0,0,0,0,0,0,0,0
"15569",2001-04-24,0,0,0,0,0,0,0,0
"15571",2001-04-25,0,0,0,0,0,2.5,0,0
"15573",2001-04-26,0,0,0.4,1,0,2,1.5,2.5
"15575",2001-04-27,0,0,0,0,0,0,0,1.1
"15577",2001-04-28,0,0,6.1,4,0,0,0,0
"15579",2001-04-29,0,0,0,0,0,0,0,0
"15581",2001-04-30,0,0,0,0,0,0,0,0
"15583",2001-05-01,0,0,NA,0,0,0,0,0
"15585",2001-05-02,0,0,0,0,0,0.6,0,0
"15587",2001-05-03,0,0,0,0,0,0.9,0,0
"15589",2001-05-04,0,0,0,0,0,0,0,0
"15591",2001-05-05,0,0,0,0,0,0,0,0
"15593",2001-05-06,0,0,0,0,0,7.3,0,0
"15595",2001-05-07,0,0,0,0,0,4.5,0,0.7
"15597",2001-05-08,0,0,0,0,0,2.3,0,0
"15599",2001-05-09,0,0,0,0,0,0.5,0,1.6
"15601",2001-05-10,0,0,0,0,0,0.7,0,2.8
"15603",2001-05-11,0,1.7,0,0,0,1.8,0,1.6
"15605",2001-05-12,0,2.3,0,0,0,0.4,0,1.1
"15607",2001-05-13,0,2,1.6,1,3.4,4.3,0,3.4
"15609",2001-05-14,0,0.2,4.1,5,3.5,2.5,0,12.4
"15611",2001-05-15,0,0,2.2,0,2.2,3,0,6.8
"15613",2001-05-16,0,0,0,0,0,0,0,0
"15615",2001-05-17,0,0,0,0,0,0.4,0,3
"15617",2001-05-18,0,0,0,0,0,0,0,0
"15619",2001-05-19,0,0,0,0,0,0.8,0,0
"15621",2001-05-20,0,0,0,0,0,3.1,0,0
"15623",2001-05-21,0,0,0,0,0,0.9,0,0.4
"15625",2001-05-22,0,0,0,0,0,0,0,0
"15627",2001-05-23,0,0,0,0,0,0.5,0,0
"15629",2001-05-24,0,0,0,0,0,0,0,0
"15631",2001-05-25,0,0,0,0,0,0,0,0
"15633",2001-05-26,0,0,0,0,0,0,0,0
"15635",2001-05-27,0,0,0,0,0,0,0,0
"15637",2001-05-28,0,0,0,0,2.2,2.8,0,0
"15639",2001-05-29,0,0,0,0,5.4,0.9,0,0.5
"15641",2001-05-30,0,0,0,0,2.2,2.7,0,3.8
"15643",2001-05-31,0,0,0.4,0,0,1.5,0,0.6
"15645",2001-06-01,0,0,0,0,0,0,0,0
"15647",2001-06-02,0,0,0,0,0,0.9,0,1.3
"15649",2001-06-03,0,0,0,0,0,1.1,0,2.5
"15651",2001-06-04,0,0,0,0,0,1.3,0,0.5
"15653",2001-06-05,0,0,0,0,0,0,0,0
"15655",2001-06-06,0,0,0,0,0,0,0,0
"15657",2001-06-07,0,0,0,0,0,0,0,0
"15659",2001-06-08,0,0,0,0,0,0,0,0
"15661",2001-06-09,0,0,0,0,0,0,0,0
"15663",2001-06-10,0,0,0,0,0,0,0,0
"15665",2001-06-11,0,0,0,0,0,0,0,4.4
"15667",2001-06-12,0,0,1.3,0,0,0,0,0.8
"15669",2001-06-13,0,0,0,0,0,2,0,0
"15671",2001-06-14,0,0,0,0,0,0,0,0
"15673",2001-06-15,0,0,0,0,0,0,0,4.2
"15675",2001-06-16,0,0,0,0,0,0,0,0
"15677",2001-06-17,0,0,0,0,0,0,0,0
"15679",2001-06-18,0,0,0,0,0,0,0,0
"15681",2001-06-19,0,0,0,0,0,0,0,0
"15683",2001-06-20,0,0,0,0,0,0.5,0,7
"15685",2001-06-21,0,0,0,0,0,1.7,0,2.4
"15687",2001-06-22,0,0,0,0,0,0,0,0
"15689",2001-06-23,0,0,0,0,0,0,0,0
"15691",2001-06-24,0,0,0,0,0,0,0,0
"15693",2001-06-25,0,0,0,0,0,0,0,0
"15695",2001-06-26,0,0,0,0,0,0,0,0
"15697",2001-06-27,0,0,0,0,0,0,0,0
"15699",2001-06-28,0,0,0,0,0,0,0,0
"15701",2001-06-29,0,0,0,0,0,0,0,0
"15703",2001-06-30,0,0,0,0,0,0,0,0
"15705",2001-07-01,0,0,0,0,0,0,0,0
"15707",2001-07-02,0,0,0,0,0,0,0,0
"15709",2001-07-03,0,0,0,0,0,0,0,0
"15711",2001-07-04,0,0,0,0,0,0,0,0
"15713",2001-07-05,0,0,0.3,0,0,0,0,0
"15715",2001-07-06,0,0,0,0,0,0,0,0
"15717",2001-07-07,0,0,0,0,0,0,0,0
"15719",2001-07-08,0,0,0,0,0,0.9,0,0
"15721",2001-07-09,0,0,0,0,0,0,0,0
"15723",2001-07-10,0,0,0,0,0,0,0,0
"15725",2001-07-11,0,0,0,0,0,0,0,0
"15727",2001-07-12,0,0,0,0,0,0,0,0
"15729",2001-07-13,0,0,0,0,0,0,0,0
"15731",2001-07-14,0,0,0,0,0,0,0,0
"15733",2001-07-15,0,0,0,0,0,0,0,0
"15735",2001-07-16,0,0,0,0,0,0,0,0
"15737",2001-07-17,0,0,0,0,0,0,0,0
"15739",2001-07-18,0,0,0,0,0,2.4,0,0
"15741",2001-07-19,0,0,0,0,0,0,0,0
"15743",2001-07-20,0,0,0,0,0,0,0,0
"15745",2001-07-21,0,0,0,0,0,0,0,1.9
"15747",2001-07-22,0,0,0,0,0,0,0,2.7
"15749",2001-07-23,0,0,0,0,0,0,0,3.8
"15751",2001-07-24,0,0,0,2.5,0,0.8,0,0.7
"15753",2001-07-25,0,0,0,0,0,9,0,0
"15755",2001-07-26,0,0,0,0,0,0.6,0,0
"15757",2001-07-27,0,0,0,0,0,0,0,0
"15759",2001-07-28,0,0,0,0,0,5,0,0
"15761",2001-07-29,0,0,0,0,0,0,0,0
"15763",2001-07-30,0,0,0,0,0,0,0,0
"15765",2001-07-31,0,0,0,0,0,0,0,0
"15767",2001-08-01,0,0,0,0,0,0,0,0
"15769",2001-08-02,0,0,0,0,0,0,0,0
"15771",2001-08-03,0,0,0,0,0,0,0,0
"15773",2001-08-04,0,0,0,0,0,0,0,0
"15775",2001-08-05,0,0,0,0,0,0,0,0
"15777",2001-08-06,0,0,0,0,0,0,0,0
"15779",2001-08-07,0,0,0,0,0,0,0,0
"15781",2001-08-08,0,0,0,0,0,0,0,0
"15783",2001-08-09,0,0,0,0,0,0,0,0
"15785",2001-08-10,0,0,0,0,0,0,0,0
"15787",2001-08-11,0,0,0,0,0,0,0,0
"15789",2001-08-12,0,0,0,0,0,0,0,0
"15791",2001-08-13,0,0,0,0,0,0,0,0
"15793",2001-08-14,0,0,0,0,0,0,0,0
"15795",2001-08-15,0,0,0,0,0,0,0,0
"15797",2001-08-16,0,0,0,0,0,0,0,0
"15799",2001-08-17,0,0,0,0,0,0,0,0
"15801",2001-08-18,0,0,0,0,0,0,0,0
"15803",2001-08-19,0,0,0,0,0,0,0,0
"15805",2001-08-20,0,0,0,0,0,0,0,0
"15807",2001-08-21,0,0,0,0,0,0,0,0
"15809",2001-08-22,0,0,0,0,0,0,0,0
"15811",2001-08-23,0,0,0,0,0,0,0,0
"15813",2001-08-24,0,0,0,0,0,0,0,0
"15815",2001-08-25,0,0,0,0,0,0,0,0
"15817",2001-08-26,0,0,0,0,0,0,0,0
"15819",2001-08-27,0,0,0,0,0,0,0,0
"15821",2001-08-28,0,0,0,0,0,0,0,0
"15823",2001-08-29,0,0,0,0,0,0,0,0
"15825",2001-08-30,0,0,0,0,0,0,0,0
"15827",2001-08-31,0,0,0,0,0,0,0,0
"15829",2001-09-01,0,0,0,0,0,0.5,0,0.9
"15831",2001-09-02,0,0,0,0,0,0,0,2.2
"15833",2001-09-03,0,0,0,0,0,0,0,3.3
"15835",2001-09-04,0,0.2,0,2.5,0,2,0,0.7
"15837",2001-09-05,0,0,0,5,0,6,0,0
"15839",2001-09-06,0,0,0.3,0,0,1.5,0,0
"15841",2001-09-07,0,0,0,0,0,1,0,0
"15843",2001-09-08,0,0,0,0,0,0,0,0
"15845",2001-09-09,0,0.8,1.1,0,0,5.1,1.2,0
"15847",2001-09-10,0,0,0.5,6.2,0,6.2,0,0
"15849",2001-09-11,0,0,0,0,0,2.5,0,0
"15851",2001-09-12,0,0,0,0,0,2.1,1.1,0
"15853",2001-09-13,0,0,0.4,4,0,7.7,0,4.7
"15855",2001-09-14,0,0,0,0,0,10.2,2.1,9.7
"15857",2001-09-15,0,0,2.8,4.5,0,2.6,0,7.6
"15859",2001-09-16,0,0,1.6,8,0,1.1,0,1.8
"15861",2001-09-17,0,0,4.3,2,0,8.7,0,5.1
"15863",2001-09-18,0,0,1,0,0,3.4,0,4.1
"15865",2001-09-19,0,0,0,0,0,0,0,0.8
"15867",2001-09-20,0,0,0,0,0,0,0,0
"15869",2001-09-21,0,0,0,0,0,0,0,0
"15871",2001-09-22,0,0,0,0,0,0,0,0
"15873",2001-09-23,0,0,1.9,0,0,7.2,0,0
"15875",2001-09-24,0,0,0,5,0,0.8,0,0
"15877",2001-09-25,0,0,0,0,0,0.7,0,4.1
"15879",2001-09-26,0,0,0,0,0,0,0,3
"15881",2001-09-27,0,0,0,0,0,2.5,0,1.9
"15883",2001-09-28,0,0,0,0,0,0,0,0
"15885",2001-09-29,0,0,0.6,0,0,0.8,0,0
"15887",2001-09-30,0,0,0,0,0,0,0,0
"15889",2001-10-01,0,0,0,0,0,0,0,1
"15891",2001-10-02,NA,0,0.7,0,0,3.6,0,1.4
"15893",2001-10-03,0,0,0,0,0,2.5,0,1.3
"15895",2001-10-04,0,0,0,0,0,6.1,0,4.3
"15897",2001-10-05,0,0,0,0,0,8.7,0,0
"15899",2001-10-06,0,0,0,1.5,0,0,0,0.5
"15901",2001-10-07,0,0,0,0,0,10.5,0,1.7
"15903",2001-10-08,0,0,0,0,0,3.9,0,2.1
"15905",2001-10-09,0,0,0,0,0,0,0,1.3
"15907",2001-10-10,0,0,0,0,0,0,0,1.1
"15909",2001-10-11,0,0,0,0,0,0.9,0,0.2
"15911",2001-10-12,0,0,0,0,0,0,0,0
"15913",2001-10-13,0,0,0.9,0,0,2.5,0,0.4
"15915",2001-10-14,0,0,1,2.5,0,0.4,0,0.2
"15917",2001-10-15,0,0,0,0,0,1.5,0,0.6
"15919",2001-10-16,0,0,0,1.5,0,7.6,0,0.9
"15921",2001-10-17,0,0,0,0,0,0.7,0,0.5
"15923",2001-10-18,0,0,1.8,0,0,0,0,0
"15925",2001-10-19,0,0,0,0,0,3.9,0,0
"15927",2001-10-20,0,0,0,0,0,0,0,0.4
"15929",2001-10-21,0.4,0,3.7,3.5,0,2.2,0,0.5
"15931",2001-10-22,0,0,0,0,0,0.3,0,0.2
"15933",2001-10-23,0,0,1.2,0,0,0,0,0
"15935",2001-10-24,0,0,0,0,0,0,0,1.6
"15937",2001-10-25,0,0,0,0,0,0.3,0,3.5
"15939",2001-10-26,0,0,0.4,1,0,1.5,0,1.9
"15941",2001-10-27,0,0,0,0,0,4.4,0,0.4
"15943",2001-10-28,NA,0,2.5,5,3.4,14.7,0,2.5
"15945",2001-10-29,0,8.4,0.8,2,14.2,7.8,2.1,1.8
"15947",2001-10-30,0,4.2,7.8,14,17,11.9,3.4,7.2
"15949",2001-10-31,0,0.2,13.3,28,3.1,14.8,1.1,5.9
"15951",2001-11-01,0,0.1,9.8,2.5,0,3.6,0,2.2
"15953",2001-11-02,0,0,0,0,0,0,0,0
"15955",2001-11-03,0,0,0,0,0,0,0,0
"15957",2001-11-04,0,0,0,0,0,0,0,0
"15959",2001-11-05,0,0,0,0,0,0.1,0,0
"15961",2001-11-06,0,0,0,0,0,3,0,3.1
"15963",2001-11-07,0,0,0,0,6.2,1.7,0,3.7
"15965",2001-11-08,0,0,0,4.2,4.3,2,0,1
"15967",2001-11-09,0,0,0,0,5.3,0,0,0
"15969",2001-11-10,0,0,0,0,4.5,0,0,0.9
"15971",2001-11-11,0,0,0,0,0,2.2,0,1.9
"15973",2001-11-12,0.7,0,8.1,3.5,0,9.1,2.3,11.1
"15975",2001-11-13,0,0,11,17,0,15.6,1.6,15.4
"15977",2001-11-14,0,0,3.9,2.5,1.2,10.5,1.8,10.6
"15979",2001-11-15,0,1.5,11,3.5,8.7,19.8,0,2.4
"15981",2001-11-16,0,0,3.9,3.4,6.5,10.5,0,1.4
"15983",2001-11-17,0,0,5.5,7,3.7,10.8,0,3.1
"15985",2001-11-18,0,0,0,8.5,1.3,0.6,0,1.6
"15987",2001-11-19,0,0,3.3,0,0,6,0,3.1
"15989",2001-11-20,0,0,5.2,2,0,6.6,1.1,0
"15991",2001-11-21,0.3,4.6,2.8,0,0,1.6,0,0
"15993",2001-11-22,1.8,5.9,2.5,12,6.7,0.6,2.1,0
"15995",2001-11-23,0.8,10.4,9.8,10.5,1.2,2,0,9.8
"15997",2001-11-24,0,11.1,7.2,12.5,5.2,9.1,0,6.6
"15999",2001-11-25,3.5,5.3,12.5,11.5,3.5,14.6,4.1,2.2
"16001",2001-11-26,0.8,9.5,6,8,14.3,3.1,3.7,7.6
"16003",2001-11-27,5.8,1.6,11.7,7,10.2,10.1,5.2,6.2
"16005",2001-11-28,0.2,11.7,5.8,10,10.1,10.2,0,3.9
"16007",2001-11-29,0,2.1,1.8,8.5,5.6,6.8,0,1.2
"16009",2001-11-30,0,0.8,0.7,0,0,0,0,0.2
"16011",2001-12-01,NA,2.7,0,0,0,0,0,0
"16013",2001-12-02,NA,0,0,0,0,0,0,0
"16015",2001-12-03,NA,1.2,0.6,9,0,0.5,1.2,5.4
"16017",2001-12-04,NA,0,1.9,0,0,5.1,0,8.8
"16019",2001-12-05,NA,0,0.3,5.5,0,5.9,0,3
"16021",2001-12-06,NA,0,0,4,0,0,1,7.8
"16023",2001-12-07,NA,0,0,10.5,0,7.9,0,13.4
"16025",2001-12-08,NA,11.9,7.5,11.2,0,15.8,0,15.2
"16027",2001-12-09,NA,0.2,4.9,12.5,0,3.8,0,11.1
"16029",2001-12-10,NA,0,2,8.3,0,2.5,0,6.7
"16031",2001-12-11,NA,0,0.3,0,0,0,0,1
"16033",2001-12-12,NA,0,1.3,0,0,1.7,0,0
"16035",2001-12-13,NA,0,1.8,2.5,0,6.7,0,1.3
"16037",2001-12-14,NA,0,0,0,5.3,0,0,0.5
"16039",2001-12-15,NA,0,0,0,6.4,0,0.1,0
"16041",2001-12-16,NA,0,0,0,9.2,0,0.4,0
"16043",2001-12-17,NA,0,0,0,4.4,0,0,0
"16045",2001-12-18,NA,0,0,0,0,0.5,1.2,0
"16047",2001-12-19,NA,0,0,0,0,0.3,0,0
"16049",2001-12-20,NA,0,0,0,0,0.6,0,0
"16051",2001-12-21,NA,0,0,0,0,0,0,0
"16053",2001-12-22,NA,0,0,0,2.5,0.6,0,0
"16055",2001-12-23,NA,0,0,0,5.5,0,0,0
"16057",2001-12-24,NA,0,8.2,2.5,4.2,12.1,2.4,0.4
"16059",2001-12-25,NA,0,23,3,0,3.9,2,0.9
"16061",2001-12-26,NA,0,5.1,8.5,0,1.8,0,3.8
"16063",2001-12-27,NA,0,3.8,4.5,0,9.2,0,1.5
"16065",2001-12-28,NA,0,1.3,10.5,0,1.6,0,0.5
"16067",2001-12-29,NA,15.4,4.4,0,0,26.4,0,0.8
"16069",2001-12-30,NA,0,0,4,0,0.6,0,0
"16071",2001-12-31,NA,0,0,0,0,0,0,0
"16073",2002-01-01,NA,0,0,0,0,0,0,0
"16075",2002-01-02,0,0,0,0,0,0,0,0
"16077",2002-01-03,0,0,0,0,0,1.4,0,0
"16079",2002-01-04,0,0,0,0,0,1.2,0,0
"16081",2002-01-05,0,0,0,0,2.1,0,0,0
"16083",2002-01-06,0,0,0,0,3.3,0,0,0
"16085",2002-01-07,0,0,0,0,5.8,0,0,0
"16087",2002-01-08,0,0,0,0,0,0,0,0
"16089",2002-01-09,0.6,0.2,1.7,0,0,0,0,0
"16091",2002-01-10,0,0.5,4.5,0,0,25,0,2.7
"16093",2002-01-11,0,1,0.2,3,0,10.4,0,7
"16095",2002-01-12,0,1.1,6.8,5.2,0,8.7,0,9.7
"16097",2002-01-13,0,0.8,6.5,2,6.4,3.7,0,12.1
"16099",2002-01-14,0,0,2.1,8.5,13.9,8.3,0,5.6
"16101",2002-01-15,0,0,0,2.5,4.3,0.1,0,4.9
"16103",2002-01-16,0,0,1.4,0,16.4,0,0,0.9
"16105",2002-01-17,0,0,0,0,2.2,0.6,0.6,0
"16107",2002-01-18,0,0,0,0,0,0,0,4
"16109",2002-01-19,0,0,2.5,10,0,0,0,2.8
"16111",2002-01-20,NA,0.7,2.8,10.5,0,4.5,6,3.9
"16113",2002-01-21,NA,1.9,14.4,11.5,0,3.7,3.8,3
"16115",2002-01-22,0.3,2.4,0,2,0,2.2,0.5,0
"16117",2002-01-23,0,0.6,0,0,0,0,0,0
"16119",2002-01-24,0,0,0,0,0,7.8,0,0
"16121",2002-01-25,1.5,0,0,4.5,4.1,3.9,6,0
"16123",2002-01-26,1.2,7.3,1.2,2,3.3,0,1.1,3
"16125",2002-01-27,0,0,0,0,3.4,0,0,0
"16127",2002-01-28,0,0,0,0,4.1,0,0,0
"16129",2002-01-29,0,0,6.6,3,0,0,0,7
"16131",2002-01-30,0,1,0,2.5,0,1.5,0,8.5
"16133",2002-01-31,0,0,0,0,0,6.8,0,1.1
"16135",2002-02-01,0.4,13.3,NA,NA,0,5,0.6,1.5
"16137",2002-02-02,0.7,5.7,5.1,5.5,1.2,3.9,6.3,5.4
"16139",2002-02-03,NA,0.8,7,8.4,7.9,9.3,3.6,5.8
"16141",2002-02-04,2.6,0,6.1,5,19.4,9.2,1,3.9
"16143",2002-02-05,42.8,20,8.7,11.5,10.2,12.1,16.4,5.9
"16145",2002-02-06,35.4,9.9,12.1,12,19.1,21.6,10.6,8.3
"16147",2002-02-07,4.5,3.1,13.2,10.5,8.4,31.7,0,7.1
"16149",2002-02-08,0.1,1.6,0,0,2.4,3,0,0.7
"16151",2002-02-09,0,0,0,0,0,0,0,0.4
"16153",2002-02-10,0,0,0,0,0,0,0,0
"16155",2002-02-11,0,0,0,13,0,31.7,0,0.5
"16157",2002-02-12,0,0,0,10.5,0,1,0,0
"16159",2002-02-13,0,0,0,8,2.3,1.3,0,1.9
"16161",2002-02-14,0,0,0,0,18.7,11.3,0,4.1
"16163",2002-02-15,0,0,0,0,11.6,7.3,0,5.2
"16165",2002-02-16,0,0.4,0,3.5,8.7,2.3,0,3.3
"16167",2002-02-17,0.5,2.1,5.4,4.5,13.2,5.9,3,4.4
"16169",2002-02-18,1.6,6.3,2.4,9.5,1.8,1.8,5.5,8.5
"16171",2002-02-19,0.2,8,9.6,14,0,4.7,2.5,8.2
"16173",2002-02-20,4.6,6.6,6.6,7.5,0,11.9,4,7.8
"16175",2002-02-21,0.6,6.7,12.3,10,0,9,1.4,2.6
"16177",2002-02-22,0.6,0,4.6,6.5,0,1,1.4,2
"16179",2002-02-23,1.4,0,1.5,4,14.8,1.9,0,1.8
"16181",2002-02-24,0,3.7,3.2,7.2,10.2,3.7,4,3.2
"16183",2002-02-25,0,0,0,7.5,14.8,4.7,4.5,2.6
"16185",2002-02-26,0,0.7,6.1,7.5,8.9,12.2,0,1
"16187",2002-02-27,3.3,0,2.6,8.5,9.2,12,0,6
"16189",2002-02-28,3,0,0,0,0,0.5,0,0.8
"16191",2002-03-01,1.2,6,4.8,NA,0,0.9,0,6.9
"16193",2002-03-02,0,8.1,0.5,6,1.3,7,0,11.1
"16195",2002-03-03,0,2.2,2.7,5.5,14.3,3.1,0,6.8
"16197",2002-03-04,4.4,2.5,14,4.5,11.3,3.7,3.2,9.4
"16199",2002-03-05,NA,4.4,3.7,3.5,12.8,2.1,0,8.7
"16201",2002-03-06,0.6,1.1,1.2,0,8.7,4.3,2.4,8.5
"16203",2002-03-07,NA,0,0,0,13.5,6.6,0,13.8
"16205",2002-03-08,0.2,0,15.5,13,10.8,26.3,0,10
"16207",2002-03-09,0,9.8,2.5,6,13.4,52.1,0,3.1
"16209",2002-03-10,0,7.1,2.2,5.5,0,7.8,0,3.8
"16211",2002-03-11,0.3,2,5.5,7.5,4.4,9.2,0,2.7
"16213",2002-03-12,14,3.1,1,8,11.3,21.4,3.8,3.5
"16215",2002-03-13,15.1,2.6,4.6,9.4,7.6,11.6,11.6,3.9
"16217",2002-03-14,3.2,5,13.4,10.3,2.1,2.3,8.4,3.8
"16219",2002-03-15,0.5,1.7,6.3,8.5,0,0.5,0,7.2
"16221",2002-03-16,5.4,1,12.8,14.5,2.1,30,9.7,3.5
"16223",2002-03-17,1.3,3.5,9.1,12,9.4,7.2,2.5,3.3
"16225",2002-03-18,0.3,4.7,9.2,10,15.7,35.8,0,4.8
"16227",2002-03-19,1.4,4.7,2.9,6.5,1.5,6.8,6.1,2.5
"16229",2002-03-20,0.2,5,6.7,12.5,0,5.7,3.3,7.8
"16231",2002-03-21,0.6,0,4.6,0,0,0.2,0,5.9
"16233",2002-03-22,NA,0,1,0,5.3,0.3,0,1.2
"16235",2002-03-23,0,0,0.6,3,7.7,3.6,0,1.9
"16237",2002-03-24,2.5,1.5,4.2,4.5,10.2,5.4,2.3,4.7
"16239",2002-03-25,0,2.5,1.7,0,3.2,1.2,0,6.6
"16241",2002-03-26,0,4.6,6.6,9,3.2,5,1.5,3.8
"16243",2002-03-27,2.4,3.2,2.5,6.2,4.9,6.8,6.5,3.9
"16245",2002-03-28,0,0.8,3.6,7,1.3,2.2,0,7.7
"16247",2002-03-29,1.5,0.9,15.2,6.5,0,4.5,2.4,12.3
"16249",2002-03-30,0.1,0.7,1.5,2.5,1.2,2.5,2.8,5.5
"16251",2002-03-31,0,0.2,3.6,0,3.6,1.5,2.6,9.3
"16253",2002-04-01,0.4,0,3.2,NA,3.2,16.1,0,4.5
"16255",2002-04-02,2.4,10.2,2.6,6.5,5.4,9.2,5.2,5
"16257",2002-04-03,1.2,1.1,1.2,5.3,2.3,1.2,0,2.3
"16259",2002-04-04,2.7,6,0,4.5,10.9,0.6,4.2,8.2
"16261",2002-04-05,1,0.8,11.7,0,17,0,0,0.8
"16263",2002-04-06,1.1,9.5,7.1,5.2,3.5,7,0,3.6
"16265",2002-04-07,3.9,3.2,2.3,0,3.6,7.3,1.6,5.7
"16267",2002-04-08,4.1,3.6,2.5,0,0,3.3,2.4,6.7
"16269",2002-04-09,0,0,5.1,8,0,2.3,1.6,0
"16271",2002-04-10,0,0,0.6,8.2,0,3.8,2.4,0
"16273",2002-04-11,0,4,8.8,6.5,0,8.1,0,5.3
"16275",2002-04-12,0.8,2.1,6.5,10,1.2,9.9,7.1,9.9
"16277",2002-04-13,0.6,0.6,2.3,4,22.2,1.7,0,2
"16279",2002-04-14,0,14,0,2.5,7.3,0.8,0,5.2
"16281",2002-04-15,0,1.2,0.5,0,2.8,0,0,1.1
"16283",2002-04-16,0,0,4.7,0,0,0.4,0,2.8
"16285",2002-04-17,0,0,0,0,0,0.6,0,1.2
"16287",2002-04-18,0.6,0,4.3,5.5,0,2,0,3.8
"16289",2002-04-19,0,1.5,2.3,4,0,7.8,2.6,1.7
"16291",2002-04-20,1.2,0,0,0,0,2.1,0,0
"16293",2002-04-21,1.7,2.7,0.2,3.5,2.2,0.6,0,4
"16295",2002-04-22,0.1,0,0,8,7.2,6,1.4,5.9
"16297",2002-04-23,0,4.4,30.9,10,5.5,3,5.6,3.9
"16299",2002-04-24,0,0,0,3.5,2.2,1.7,0,0
"16301",2002-04-25,0,0,0,0,0,0,2.4,0
"16303",2002-04-26,0,0,0,0,0,0,0,0
"16305",2002-04-27,0,0,0,0,0,0,0,0
"16307",2002-04-28,0,0,0,0,0,0,0,0
"16309",2002-04-29,0,0,0.6,0,0,0,0,0
"16311",2002-04-30,0,0,0,0,0,0,0,0
"16313",2002-05-01,0,0,0,0,0,0,0,0
"16315",2002-05-02,0,0,0,0,0,0,0,0
"16317",2002-05-03,0,0,0,0,0,5.3,0,0
"16319",2002-05-04,0,0,1.1,0,0,0,0,0
